Ticker,MSE,StdDev
ADA-USD_processed,0.8416248,0.027585052
ATOM-USD_processed,0.8305052,0.014233064
AVAX-USD_processed,0.7145851,0.026436843
BNB-USD_processed,0.9941593,0.013525795
BTC-USD_processed,1.0873243,0.03453723
DOT-USD_processed,1.3702793,0.01963564
ETH-USD_processed,1.2073563,0.019776624
INJ-USD_processed,0.71896887,0.022675524
LINK-USD_processed,0.7435377,0.023237249
MATIC-USD_processed,1.7896138,0.13451532
OP-USD_processed,0.8603358,0.016936632
SOL-USD_processed,0.6481133,0.02162328
UNI-USD_processed,0.041220177,0.0019815783
XRP-USD_processed,0.6923917,0.014042371
