Ticker,MSE,StdDev
ADA-USD_processed,0.8121121,0.0077642943
ATOM-USD_processed,0.8037963,0.00789155
AVAX-USD_processed,0.6641045,0.013355738
BNB-USD_processed,0.9498081,0.004112947
BTC-USD_processed,1.0420033,0.004393445
DOT-USD_processed,1.3597637,0.0055417037
ETH-USD_processed,1.1789131,0.008440822
INJ-USD_processed,0.69561964,0.0037093218
LINK-USD_processed,0.7059558,0.011152444
MATIC-USD_processed,1.7889353,0.014838702
OP-USD_processed,0.836464,0.0107592065
SOL-USD_processed,0.61796314,0.0121762
UNI-USD_processed,0.038858753,0.0047127046
XRP-USD_processed,0.66575056,0.0024855991
