Ticker,MSE,StdDev
ADA-USD_processed,0.47679877,0.022602074
ATOM-USD_processed,0.6283803,0.023988502
AVAX-USD_processed,0.39053383,0.012573124
BNB-USD_processed,0.37388766,0.02474538
BTC-USD_processed,0.72682333,0.031779736
DOT-USD_processed,0.33412683,0.0073670805
ETH-USD_processed,0.90042895,0.036902428
LINK-USD_processed,0.5345027,0.026479369
MATIC-USD_processed,0.647386,0.026361426
SOL-USD_processed,0.70641047,0.010045123
UNI-USD_processed,9.970208,0.066082545
XRP-USD_processed,0.4515509,0.03211071
