Ticker,MSE,StdDev
ADA-USD_processed,0.5045571,0.0367728
ATOM-USD_processed,0.66663706,0.045764457
AVAX-USD_processed,0.39284953,0.021286044
BNB-USD_processed,0.42305237,0.041598603
BTC-USD_processed,0.7952039,0.06636729
DOT-USD_processed,0.36142188,0.031572036
ETH-USD_processed,0.9596286,0.06321306
LINK-USD_processed,0.55363405,0.03275067
MATIC-USD_processed,0.67274725,0.03778137
SOL-USD_processed,0.7222921,0.025367714
UNI-USD_processed,9.9303875,0.045943122
XRP-USD_processed,0.5024303,0.050032705
